index,seq1,seq2,seq3,seq4,seq5,seq6,seq7,seq8,seq9,seq10
seq1, 0, -26, -15, -17, -17, -13, -25, -20, -29, -11
seq2,-26, 0, -19, -27, -23, -24, -15, -20, -10, -23
seq3,-15, -19, 0, -22, -11, -16, -14, -32, -6, -19
seq4,-17, -27, -22, 0, -23, -10, -17, -23, -32, -13
seq5,-17, -23, -11, -23, 0, -17, -6, -18, -4, -16
seq6,-13, -24, -16, -10, -17, 0, -18, -26, -24, -23
seq7,-25, -15, -14, -17, -6, -18, 0, -26, -15, -15
seq8,-20, -20, -32, -23, -18, -26, -26, 0, -34, -14
seq9,-29, -10, -6, -32, -4, -24, -15, -34, 0, -21
seq10,-11, -23, -19, -13, -16, -23, -15, -14, -21, 0
