index;seq1;seq2;seq3;seq4;seq5;seq6;seq7;seq8;seq9;seq10
seq1;0;-49; -30; -40; -33; -51; -124;    -33; -39; -23
seq2;-49;0;-58; -43; -38; -49; -124;    -29; -39; -45
seq3;-30; -58;0;   -29; -25; -36; -119;    -37; -31; -44
seq4;-40; -43; -29; 0; -21; -21; -134; -29; -37; -42
seq5;-33; -38; -25; -21; 0; -12; -128; -29; -45; -28
seq6;-51; -49; -36; -21; -12; 0; -144; -29; -47; -52
seq7;-124; -124; -119; -134; -128; -144; 0; -121; -124; -121
seq8;-33; -29; -37; -29; -29; -29; -121; 0; -39; -38
seq9;-39; -39; -31; -37; -45; -47; -124; -39; 0; -37
seq10;-23; -45; -44; -42; -28; -52; -121; -38; -37; 0
